emp_no,title,salary
98463,Engineer,63358
98464,Engineer,52187
98470,Staff,40000
98472,Engineer,40000
98478,Senior Engineer,40000
98485,Senior Staff,94046
98490,Engineer,71154
98495,Senior Staff,44909
98497,Senior Engineer,40000
98500,Senior Staff,47977
98504,Senior Engineer,40000
98506,Senior Staff,66018
98518,Senior Engineer,40671
98522,Senior Staff,40000
98524,Engineer,51480
98528,Senior Engineer,48261
98530,Senior Staff,63873
98533,Senior Engineer,64179
98534,Senior Engineer,55096
98536,Senior Engineer,40000
98541,Senior Staff,72668
98543,Senior Engineer,44820
98548,Engineer,53678
98549,Senior Staff,54864
98554,Engineer,40000
98558,Senior Engineer,40000
98570,Senior Engineer,55224
98571,Senior Staff,73426
98578,Engineer,47877
98584,Senior Engineer,48242
98586,Senior Engineer,40000
98589,Senior Engineer,66638
98594,Engineer,41566
98595,Staff,79874
98600,Senior Engineer,40000
98605,Senior Engineer,40000
98618,Staff,40000
98619,Senior Engineer,48411
98628,Senior Engineer,40000
98633,Engineer,60853
98636,Senior Engineer,45412
98646,Engineer,40000
98650,Senior Engineer,46048
98660,Senior Staff,40000
98663,Senior Staff,60861
98672,Senior Engineer,40000
98675,Senior Staff,40000
98676,Senior Engineer,41978
98678,Senior Staff,63689
98680,Technique Leader,52009
98682,Senior Staff,40000
98683,Senior Engineer,40000
98686,Senior Engineer,60716
98687,Senior Engineer,47706
98696,Senior Engineer,40000
98697,Staff,61359
98699,Senior Staff,40000
98707,Senior Engineer,59058
98709,Senior Engineer,43851
98711,Senior Staff,62096
98713,Senior Staff,44936
98714,Senior Engineer,42499
98717,Staff,57315
98724,Senior Engineer,52354
98725,Engineer,49026
98732,Senior Staff,40000
98736,Assistant Engineer,79698
98738,Senior Engineer,40000
98741,Technique Leader,41863
98745,Senior Engineer,61252
98750,Senior Engineer,46673
98753,Senior Staff,73479
98760,Senior Engineer,40000
98766,Senior Engineer,69215
98768,Senior Engineer,40000
98773,Senior Staff,40000
98782,Technique Leader,40000
98793,Staff,40000
98795,Senior Staff,40000
98796,Senior Engineer,72249
98798,Senior Staff,77057
98807,Staff,49505
98813,Senior Engineer,59764
98820,Technique Leader,52353
98823,Senior Staff,52979
98825,Senior Engineer,51267
98832,Senior Staff,40000
98834,Senior Staff,86361
98838,Senior Engineer,70627
98840,Senior Staff,40000
98843,Staff,77308
98845,Senior Staff,46355
98852,Engineer,56812
98854,Assistant Engineer,43094
98861,Senior Staff,70308
98866,Senior Engineer,40000
98869,Staff,87390
98874,Staff,89673
98875,Senior Staff,56513
98876,Senior Engineer,40000
98880,Senior Engineer,53656
98882,Senior Engineer,40000
98889,Staff,53429
98893,Senior Engineer,40000
98898,Senior Staff,40000
98904,Senior Staff,50482
98905,Senior Engineer,40471
98911,Senior Engineer,49555
98913,Senior Staff,64924
98918,Staff,40358
98919,Senior Staff,40000
98920,Assistant Engineer,40000
98924,Senior Staff,55874
98943,Senior Staff,69491
98945,Senior Engineer,40000
98946,Staff,40000
98957,Senior Engineer,47257
98961,Staff,40000
98962,Senior Engineer,58636
98965,Senior Engineer,68546
98971,Technique Leader,40000
98973,Senior Engineer,51554
98977,Engineer,52810
98979,Engineer,63449
98984,Senior Staff,42340
98987,Senior Engineer,40000
98991,Senior Staff,40000
98992,Senior Engineer,59547
98993,Senior Engineer,40000
98996,Staff,52930
99000,Senior Engineer,40000
99002,Senior Staff,65683
99007,Senior Staff,40000
99010,Senior Staff,54359
99013,Senior Engineer,46808
99014,Senior Staff,68063
99022,Senior Engineer,52234
99023,Senior Staff,62460
99029,Senior Engineer,67556
99036,Technique Leader,40000
99041,Senior Staff,53291
99050,Senior Staff,78899
99064,Senior Staff,75908
99083,Senior Staff,77783
99085,Staff,70111
99089,Senior Engineer,40000
99097,Senior Engineer,40000
99104,Senior Staff,40000
99109,Senior Engineer,61146
99111,Engineer,40000
99112,Senior Engineer,73204
99128,Senior Engineer,42492
99137,Senior Engineer,82357
99153,Senior Engineer,40000
99161,Senior Engineer,51933
99162,Senior Staff,40000
99164,Engineer,40000
99167,Senior Engineer,74348
99171,Senior Staff,48063
99174,Senior Engineer,40000
99182,Engineer,57476
99190,Senior Engineer,70800
99192,Senior Engineer,51046
99199,Engineer,47596
99204,Senior Engineer,51757
99206,Senior Staff,40000
99207,Staff,40000
99208,Senior Engineer,41107
99210,Senior Engineer,40000
99220,Technique Leader,42749
99226,Senior Engineer,42023
99231,Senior Engineer,50698
99237,Engineer,40000
99239,Senior Staff,57678
99240,Engineer,59497
99247,Senior Engineer,51368
99253,Staff,59645
99255,Senior Staff,80621
99257,Staff,85741
99260,Engineer,40000
99261,Engineer,58810
99268,Senior Engineer,56680
99269,Engineer,40000
99271,Senior Staff,40000
99272,Staff,61261
99274,Senior Engineer,40000
99276,Senior Staff,85243
99278,Senior Staff,40000
99283,Senior Engineer,60807
99284,Engineer,42317
99290,Senior Engineer,40000
99297,Senior Engineer,54074
99299,Engineer,52523
99300,Senior Staff,64910
99301,Assistant Engineer,50085
99307,Senior Staff,60796
99309,Senior Engineer,72416
99313,Senior Staff,40000
99317,Staff,57175
99318,Senior Engineer,51623
99319,Senior Staff,47941
99331,Staff,40000
99336,Senior Staff,95446
99340,Senior Staff,40000
99357,Senior Engineer,40000
99360,Staff,44565
99364,Senior Engineer,40000
99365,Senior Engineer,40000
99369,Senior Staff,53308
99370,Staff,87071
99371,Senior Engineer,58546
99375,Senior Staff,44138
99376,Senior Engineer,40000
99383,Engineer,59622
99390,Senior Engineer,52747
99394,Senior Staff,59429
99395,Senior Staff,83759
99397,Senior Engineer,66989
99400,Senior Staff,66797
99404,Engineer,73583
99409,Senior Engineer,40000
99419,Senior Engineer,48473
99422,Senior Staff,67111
99428,Technique Leader,54089
99431,Senior Staff,87304
99433,Staff,67269
99438,Senior Staff,75241
99442,Senior Staff,65643
99443,Senior Staff,57383
99446,Senior Engineer,55352
99451,Senior Staff,60516
99458,Senior Staff,43374
99461,Senior Engineer,70935
99462,Senior Engineer,46136
99466,Senior Engineer,40000
99473,Engineer,63089
99476,Staff,40000
99481,Senior Staff,81880
99484,Staff,76761
99487,Senior Staff,70778
99492,Senior Staff,54784
99498,Senior Staff,80427
99501,Senior Engineer,58710
99506,Engineer,56377
99508,Senior Engineer,62760
99516,Engineer,45802
99520,Senior Engineer,47258
99522,Senior Staff,40000
99525,Senior Staff,40000
99527,Engineer,40000
99534,Technique Leader,66904
99543,Technique Leader,49566
99544,Engineer,40000
99545,Technique Leader,40000
99546,Staff,88906
99553,Senior Engineer,48071
99557,Senior Staff,40000
99564,Senior Staff,56125
99567,Assistant Engineer,69068
99571,Senior Engineer,40000
99576,Senior Staff,75576
99581,Senior Engineer,62571
99583,Senior Staff,47873
99589,Senior Engineer,48678
99598,Engineer,73295
99606,Senior Staff,70984
99607,Senior Staff,80502
99608,Engineer,42571
99611,Senior Staff,40000
99616,Staff,75400
99620,Senior Engineer,40000
99622,Senior Engineer,44203
99623,Engineer,40000
99630,Engineer,48547
99633,Senior Engineer,40000
99637,Senior Engineer,74650
99642,Senior Engineer,42435
99643,Senior Staff,58318
99646,Technique Leader,40000
99647,Staff,79840
99648,Technique Leader,40000
99649,Senior Engineer,40000
99650,Engineer,46766
99655,Senior Engineer,68796
99657,Senior Engineer,40000
99658,Senior Engineer,41905
99660,Senior Engineer,40000
99671,Senior Staff,60229
99679,Senior Engineer,40000
99681,Senior Staff,68690
99687,Senior Engineer,46524
99688,Senior Staff,61170
99689,Senior Engineer,60954
99692,Senior Staff,40000
99703,Senior Engineer,71946
99705,Senior Staff,47335
99714,Staff,75333
99716,Senior Staff,55990
99719,Senior Staff,40000
99722,Senior Staff,40000
99723,Senior Engineer,51255
99729,Senior Staff,64728
99732,Staff,63630
99733,Senior Engineer,40061
99736,Technique Leader,40000
99745,Senior Engineer,40034
99747,Senior Engineer,66509
99750,Staff,68033
99752,Technique Leader,51995
99754,Senior Engineer,84265
99763,Senior Staff,40434
99767,Staff,78949
99769,Senior Staff,67904
99771,Senior Engineer,40000
99772,Senior Engineer,48438
99779,Senior Engineer,45628
99781,Senior Staff,40000
99782,Senior Staff,47875
99786,Technique Leader,40000
99788,Senior Engineer,40000
99790,Senior Engineer,40000
99794,Senior Engineer,40000
99796,Senior Staff,71800
99798,Staff,40000
99804,Senior Engineer,58433
99815,Staff,43189
99826,Senior Engineer,40000
99832,Staff,99722
99836,Staff,71093
99837,Senior Engineer,40000
99838,Engineer,43431
99840,Technique Leader,43786
99846,Senior Staff,93845
99848,Technique Leader,59151
99855,Senior Staff,84320
99860,Technique Leader,49331
99862,Technique Leader,40000
99865,Senior Staff,65401
99870,Technique Leader,70053
99872,Senior Engineer,57015
99874,Senior Engineer,55576
99878,Senior Staff,62178
99880,Senior Staff,50558
99882,Senior Engineer,48229
99883,Senior Engineer,62474
99889,Engineer,58898
99890,Senior Staff,40930
99895,Senior Engineer,44629
99903,Staff,40000
99909,Staff,72338
99915,Senior Engineer,40000
99919,Senior Staff,40000
99920,Staff,53582
99927,Senior Engineer,40000
99928,Senior Engineer,52562
99929,Senior Staff,84623
99937,Senior Engineer,40752
99956,Senior Staff,40000
99958,Senior Staff,59924
99966,Staff,70517
99972,Staff,79948
99981,Senior Engineer,48230
99984,Senior Engineer,67846
99988,Staff,69595
99989,Engineer,42342
100001,Engineer,40000
100013,Senior Engineer,81806
100019,Senior Staff,68143
100022,Senior Staff,58805
100024,Senior Staff,70235
100032,Senior Staff,40000
100036,Staff,40000
100037,Engineer,46222
100039,Staff,43216
100042,Staff,84331
100046,Senior Engineer,40000
100058,Engineer,47213
100064,Senior Engineer,40000
100072,Engineer,40248
100074,Senior Engineer,40000
100076,Senior Engineer,40000
100077,Senior Staff,53593
100079,Technique Leader,40000
100084,Senior Engineer,67442
100090,Senior Staff,54276
100092,Senior Engineer,44308
100101,Senior Engineer,57364
100102,Engineer,40000
100105,Engineer,42972
100110,Senior Engineer,50215
100112,Engineer,76575
100115,Senior Staff,70651
100117,Senior Staff,40000
100118,Technique Leader,51892
100120,Senior Staff,40000
100125,Senior Staff,40000
100129,Staff,40000
100132,Senior Engineer,40000
100136,Senior Engineer,40000
100137,Senior Engineer,40000
100138,Engineer,43804
100139,Senior Staff,40000
100142,Senior Staff,74107
100146,Technique Leader,59959
100150,Senior Engineer,56092
100155,Senior Staff,90515
100158,Senior Staff,40000
100159,Senior Engineer,40000
100163,Senior Engineer,63233
100166,Senior Staff,70623
100169,Technique Leader,46710
100170,Staff,70152
100172,Senior Staff,59207
100173,Senior Engineer,48124
100175,Senior Engineer,60426
100178,Senior Staff,91469
100180,Senior Engineer,63640
100183,Staff,40000
100186,Engineer,49683
100189,Engineer,40000
100190,Technique Leader,40000
100192,Senior Engineer,40000
100195,Staff,40000
100200,Engineer,40000
100205,Technique Leader,40000
100206,Senior Engineer,75261
100214,Technique Leader,40000
100215,Senior Engineer,40000
100224,Technique Leader,40000
100230,Senior Staff,75862
100232,Senior Staff,45619
100237,Assistant Engineer,40075
100245,Senior Staff,46028
100252,Senior Staff,66304
100257,Engineer,50891
100258,Senior Staff,61332
100259,Senior Staff,40000
100264,Senior Engineer,40000
100270,Senior Staff,48025
100271,Engineer,40000
100274,Senior Staff,67036
100277,Senior Engineer,42826
100279,Staff,71734
100292,Senior Staff,47883
100295,Senior Staff,67515
100297,Staff,77078
100298,Senior Staff,45286
100300,Senior Engineer,40000
100303,Senior Engineer,40000
100305,Senior Engineer,68511
100317,Senior Staff,73886
100319,Senior Engineer,55250
100321,Senior Engineer,40000
100322,Senior Staff,40000
100323,Senior Engineer,65813
100324,Engineer,40000
100329,Assistant Engineer,40000
100332,Senior Engineer,40000
100333,Assistant Engineer,54918
100334,Technique Leader,40000
100343,Engineer,77395
100349,Senior Engineer,40000
100352,Senior Engineer,42705
100356,Senior Staff,44422
100358,Senior Engineer,40000
100359,Senior Engineer,40000
100360,Engineer,42781
100361,Staff,43414
100371,Engineer,43530
100372,Senior Staff,40000
100382,Senior Engineer,53751
100384,Senior Engineer,42995
100386,Engineer,40000
100390,Senior Engineer,61690
100393,Senior Staff,90990
100401,Senior Engineer,58038
100403,Senior Engineer,40000
100405,Senior Engineer,40000
100406,Senior Staff,67911
100408,Staff,44307
100410,Senior Staff,48788
100411,Senior Engineer,62652
100413,Senior Engineer,70562
100416,Senior Engineer,51393
100418,Senior Engineer,55390
100419,Senior Staff,64722
100425,Senior Staff,45543
100428,Senior Engineer,60997
100429,Senior Engineer,59160
100436,Senior Staff,83157
100443,Engineer,57931
100444,Senior Staff,74848
100449,Technique Leader,47776
100452,Senior Engineer,58300
100460,Senior Engineer,58733
100464,Senior Engineer,52918
100473,Staff,40000
100475,Senior Staff,51218
100478,Assistant Engineer,40000
100480,Technique Leader,40000
100484,Engineer,41924
100486,Senior Staff,83241
100488,Senior Staff,88627
100492,Senior Staff,84588
100497,Senior Engineer,40000
100500,Senior Engineer,61217
100507,Technique Leader,48016
100508,Senior Staff,40000
100515,Senior Engineer,40000
100516,Senior Engineer,40000
100524,Senior Engineer,52311
100531,Senior Engineer,44836
100534,Staff,95161
100539,Senior Engineer,40000
100555,Senior Staff,70189
100556,Senior Staff,40000
100565,Senior Staff,53492
100568,Senior Staff,58380
100569,Senior Engineer,51999
100570,Technique Leader,71375
100572,Engineer,56920
100574,Senior Staff,83065
100575,Engineer,40000
100582,Senior Engineer,53147
100583,Senior Engineer,40000
100584,Senior Staff,72330
100585,Senior Staff,49762
100591,Senior Staff,76978
100593,Engineer,40000
100600,Senior Engineer,57370
100609,Senior Engineer,68982
100611,Senior Engineer,49823
100618,Senior Staff,55566
100621,Engineer,40000
100623,Engineer,59605
100633,Senior Staff,66325
100634,Senior Engineer,43597
100640,Senior Engineer,53311
100648,Staff,40000
100653,Senior Engineer,40000
100656,Engineer,58825
100657,Senior Staff,80741
100659,Senior Engineer,45692
100660,Senior Engineer,40000
100665,Senior Staff,48618
100670,Senior Staff,40000
100673,Senior Staff,66753
100674,Technique Leader,50555
100678,Senior Engineer,40000
100680,Senior Staff,65045
100684,Senior Engineer,53451
100686,Senior Staff,75314
100696,Senior Staff,54343
100698,Senior Staff,45457
100703,Senior Engineer,40000
100708,Engineer,46374
100719,Engineer,53180
100721,Senior Engineer,62649
100725,Senior Staff,87150
100730,Senior Staff,54730
100733,Engineer,40000
100739,Senior Staff,76369
100746,Senior Staff,40000
100748,Senior Staff,69326
100753,Senior Engineer,72760
100769,Senior Engineer,40000
100771,Senior Staff,82520
100787,Staff,60396
100790,Staff,44662
100794,Senior Staff,89810
100795,Senior Engineer,43749
100798,Senior Engineer,72260
100800,Senior Staff,95246
100808,Staff,68177
100821,Senior Staff,42260
100822,Staff,40000
100825,Engineer,52682
100838,Technique Leader,40766
100840,Senior Staff,40000
100841,Senior Engineer,55250
100842,Senior Engineer,40000
100853,Senior Engineer,65520
100854,Senior Engineer,40000
100861,Senior Engineer,50088
100869,Senior Staff,40456
100880,Senior Staff,40000
100884,Senior Staff,44880
100889,Senior Staff,40000
100899,Staff,74573
100900,Senior Staff,40000
100914,Senior Engineer,42899
100920,Senior Engineer,40000
100924,Staff,44259
100927,Assistant Engineer,42027
100929,Senior Staff,40000
100933,Senior Staff,74993
100934,Engineer,41164
100935,Senior Staff,56099
100941,Senior Staff,61495
100943,Engineer,45000
100946,Staff,75708
100949,Senior Engineer,40000
100960,Senior Engineer,49070
100964,Senior Engineer,45421
100965,Senior Staff,85601
100966,Staff,55898
100973,Engineer,41807
100974,Engineer,40000
100975,Senior Engineer,40000
100981,Senior Engineer,53881
100988,Staff,40000
100989,Senior Staff,95913
100990,Engineer,40000
100998,Senior Staff,82366
101000,Senior Staff,51328
101002,Senior Staff,49150
101003,Engineer,58383
101005,Senior Engineer,40000
101014,Staff,66678
101015,Senior Staff,41560
101018,Senior Engineer,61471
101028,Senior Engineer,44860
101032,Senior Engineer,55281
101033,Senior Staff,64916
101034,Senior Engineer,42628
101039,Senior Engineer,48353
101041,Senior Staff,67432
101052,Staff,40000
101054,Senior Staff,41437
101066,Senior Staff,64574
101067,Assistant Engineer,54297
101071,Senior Staff,75307
101072,Senior Staff,49008
101073,Senior Engineer,61079
101076,Staff,50363
101078,Senior Engineer,42440
101083,Staff,64291
101086,Assistant Engineer,65639
101095,Technique Leader,40000
101096,Senior Engineer,40000
101098,Senior Staff,54008
101110,Technique Leader,49189
101116,Senior Staff,40138
101117,Senior Staff,60610
101122,Senior Staff,43359
101123,Senior Staff,71036
101140,Staff,76054
101142,Senior Engineer,40000
101153,Senior Staff,46653
101154,Senior Engineer,40000
101155,Senior Engineer,44181
101167,Senior Engineer,52103
101168,Engineer,40006
101172,Senior Staff,101642
101177,Staff,85501
101178,Senior Engineer,40529
101180,Senior Staff,75117
101182,Engineer,40000
101187,Senior Engineer,59660
101191,Engineer,46502
101192,Senior Staff,49897
101193,Senior Engineer,58631
101198,Senior Engineer,53518
101199,Senior Engineer,68274
101203,Senior Staff,40000
101204,Staff,40000
101206,Senior Staff,55057
101210,Senior Engineer,40000
101218,Technique Leader,56978
101221,Technique Leader,61546
101224,Engineer,40000
101231,Senior Staff,65720
101232,Assistant Engineer,40000
101239,Senior Staff,47859
101240,Senior Staff,84304
101246,Senior Staff,64563
101248,Staff,40000
101250,Staff,67730
101252,Senior Staff,41874
101258,Senior Engineer,51443
101270,Senior Staff,40000
101276,Senior Engineer,62370
101284,Senior Staff,99611
101286,Engineer,40000
101288,Senior Engineer,40000
101290,Senior Staff,78760
101291,Senior Engineer,40000
101294,Senior Engineer,47843
101295,Staff,66643
101298,Staff,89101
101300,Engineer,61001
101303,Staff,47095
101308,Staff,49682
101309,Staff,64871
101312,Senior Engineer,40000
101313,Staff,67155
101321,Senior Engineer,41130
101322,Engineer,40000
101323,Senior Engineer,52703
101327,Senior Staff,79265
101331,Senior Engineer,51344
101336,Senior Staff,40000
101338,Senior Engineer,41089
101341,Senior Staff,40000
101346,Senior Engineer,61822
101351,Senior Engineer,50098
101357,Senior Staff,40000
101364,Senior Engineer,53032
101365,Staff,80809
101370,Engineer,50248
101371,Staff,73508
101372,Senior Staff,44398
101373,Senior Staff,50706
101377,Senior Engineer,51803
101380,Engineer,65130
101381,Staff,70667
101385,Technique Leader,53991
101389,Senior Engineer,40000
101396,Senior Staff,53873
101405,Senior Engineer,40000
101407,Senior Staff,43630
101412,Senior Staff,59919
101414,Senior Staff,50029
101418,Engineer,45199
101425,Senior Engineer,54698
101427,Senior Engineer,40000
101428,Senior Engineer,59123
101430,Engineer,40000
101440,Senior Staff,64583
101443,Technique Leader,54978
101445,Senior Staff,40000
101455,Senior Engineer,54808
101460,Senior Staff,65869
101461,Senior Engineer,45488
101466,Senior Engineer,62394
101467,Engineer,63818
101470,Senior Engineer,40000
101477,Senior Staff,40000
101484,Senior Engineer,61282
101490,Senior Staff,43463
101496,Engineer,54211
101501,Technique Leader,59050
101503,Senior Staff,40000
101505,Senior Staff,74018
101515,Senior Staff,40000
101519,Senior Engineer,61833
101521,Senior Engineer,47326
101523,Technique Leader,56781
101525,Senior Staff,61539
101530,Technique Leader,49869
101535,Staff,40000
101537,Senior Engineer,43887
101542,Staff,67280
101543,Senior Staff,57038
101558,Senior Engineer,46986
101559,Senior Engineer,53702
101561,Senior Staff,52973
101562,Staff,63759
101574,Senior Staff,40000
101580,Senior Staff,40000
101587,Senior Staff,67686
101588,Senior Engineer,53259
101592,Senior Staff,90489
101607,Engineer,40000
101608,Senior Staff,71012
101612,Staff,100313
101617,Senior Staff,61499
101618,Senior Engineer,55901
101621,Senior Staff,72723
101623,Senior Engineer,44723
101626,Senior Staff,40000
101637,Staff,46260
101638,Engineer,51982
101648,Technique Leader,40000
101651,Senior Engineer,40000
101656,Senior Staff,70589
101657,Senior Staff,40000
101662,Senior Staff,42456
101670,Senior Staff,40452
101677,Staff,61881
101681,Senior Engineer,40000
101687,Staff,59404
101688,Engineer,40000
101690,Senior Staff,75873
101696,Senior Staff,59905
101704,Engineer,40000
101712,Staff,40000
101713,Senior Staff,53543
101719,Senior Engineer,51059
101721,Senior Engineer,40000
101729,Senior Staff,72945
101730,Engineer,52938
101742,Senior Staff,65726
101754,Senior Staff,45772
101756,Senior Staff,70712
101757,Senior Staff,40000
101768,Senior Staff,58966
101774,Senior Engineer,41509
101775,Engineer,65939
101778,Senior Engineer,40000
101784,Assistant Engineer,40000
101787,Senior Engineer,48195
101788,Staff,40000
101794,Engineer,40000
101798,Senior Engineer,40000
101799,Technique Leader,51595
101800,Engineer,40000
101803,Senior Staff,69127
101807,Senior Engineer,40000
101808,Technique Leader,42707
101812,Senior Staff,40000
101813,Senior Engineer,40000
101816,Senior Staff,41726
101818,Senior Engineer,40000
101833,Senior Staff,63069
101834,Engineer,42085
101843,Senior Staff,61167
101845,Senior Staff,40000
101847,Assistant Engineer,42768
101848,Senior Staff,77758
101855,Senior Staff,59799
101858,Senior Staff,40000
101861,Senior Engineer,41798
101862,Senior Engineer,49679
101866,Senior Staff,40000
101868,Staff,44303
101869,Senior Staff,84820
101871,Engineer,40000
101873,Engineer,41605
101876,Senior Engineer,76126
101877,Senior Staff,59133
101878,Senior Staff,69019
101887,Senior Engineer,40000
101888,Engineer,40000
101895,Staff,49631
101898,Senior Engineer,56898
101907,Staff,86139
101915,Senior Engineer,53504
101919,Senior Staff,61916
101928,Engineer,41357
101932,Senior Engineer,46203
101934,Senior Staff,54038
101935,Senior Engineer,48121
101936,Engineer,40000
101941,Senior Staff,88036
101945,Senior Staff,40000
101948,Engineer,49788
101949,Senior Engineer,49621
101952,Engineer,56392
101956,Engineer,60847
101957,Staff,85524
101960,Senior Staff,41404
101963,Engineer,40000
101968,Staff,57272
101969,Senior Engineer,40000
101973,Senior Staff,65051
101978,Senior Engineer,60587
101979,Senior Engineer,48630
101981,Senior Engineer,61678
101982,Senior Staff,55443
101989,Senior Engineer,52805
101993,Senior Staff,55620
101997,Senior Staff,40000
102011,Senior Engineer,52456
102019,Senior Staff,87038
102027,Senior Engineer,40000
102028,Senior Engineer,63152
102034,Engineer,52160
102041,Senior Staff,54725
102045,Engineer,46765
102052,Senior Staff,40281
102061,Senior Engineer,75529
102062,Senior Staff,58715
102068,Senior Staff,67377
102069,Engineer,40000
102079,Senior Engineer,40000
102081,Technique Leader,57925
102090,Senior Staff,40000
102095,Senior Engineer,40000
102101,Senior Staff,40000
102103,Senior Engineer,42631
102105,Senior Staff,45137
102107,Senior Engineer,40000
102110,Senior Staff,58708
102116,Senior Staff,70288
102117,Technique Leader,58776
102123,Technique Leader,40000
102131,Senior Staff,40653
102140,Engineer,64849
102141,Senior Engineer,40000
102144,Engineer,40000
102146,Senior Staff,70559
102147,Senior Staff,52372
102149,Assistant Engineer,46866
102153,Senior Staff,76845
102159,Senior Engineer,60990
102162,Senior Engineer,40000
102180,Senior Staff,51592
102187,Senior Staff,51190
102188,Senior Staff,60172
102189,Senior Engineer,40000
102191,Senior Engineer,57701
102193,Senior Staff,61290
102199,Senior Engineer,40000
102201,Senior Engineer,60504
102202,Engineer,57935
102208,Senior Engineer,40000
102212,Technique Leader,40000
102217,Senior Engineer,40000
102219,Senior Engineer,40000
102220,Technique Leader,40000
102221,Senior Engineer,42023
102228,Senior Staff,59418
102231,Engineer,40000
102232,Senior Staff,44706
102237,Senior Staff,40000
102240,Senior Engineer,63672
102252,Senior Staff,40000
102253,Staff,98307
102257,Senior Engineer,41309
102263,Senior Engineer,40000
102277,Engineer,40000
102283,Engineer,58990
102286,Senior Staff,46380
102288,Senior Staff,43984
102289,Staff,67967
102292,Technique Leader,61172
102296,Engineer,45540
102298,Engineer,40000
102302,Senior Engineer,40000
102314,Engineer,40000
102320,Senior Engineer,40000
102322,Engineer,40000
102327,Senior Staff,63670
102336,Senior Engineer,40000
102347,Senior Engineer,44921
102348,Technique Leader,40000
102349,Engineer,50365
102351,Senior Staff,60967
102355,Engineer,59169
102363,Staff,74900
102371,Senior Staff,56227
102372,Senior Engineer,98186
102373,Staff,52329
102385,Senior Engineer,73828
102390,Senior Engineer,40000
102394,Senior Staff,40000
102395,Senior Staff,40000
102396,Engineer,51238
102397,Technique Leader,65089
102398,Engineer,54825
102405,Senior Staff,42998
102407,Engineer,40000
102415,Senior Engineer,40057
102417,Staff,53536
102423,Senior Staff,48201
102427,Senior Staff,40000
102431,Engineer,47944
102433,Senior Staff,92909
102440,Senior Staff,76306
102450,Senior Engineer,66353
102451,Engineer,40000
102460,Staff,80606
102465,Senior Staff,40000
102467,Engineer,47503
102470,Senior Staff,71844
102479,Senior Staff,61615
102483,Senior Engineer,40000
102492,Senior Engineer,40000
102494,Staff,59643
102496,Senior Engineer,40000
102513,Senior Engineer,71598
102514,Senior Engineer,63125
102516,Senior Staff,64086
102518,Senior Engineer,40000
102519,Senior Engineer,54889
102520,Senior Engineer,40000
102524,Senior Staff,79043
102529,Senior Staff,40000
102534,Engineer,59616
102539,Senior Engineer,60627
102542,Senior Staff,40000
102544,Senior Engineer,48738
102545,Senior Staff,70774
102548,Senior Engineer,40000
102552,Senior Staff,40000
102553,Senior Engineer,40000
102572,Senior Engineer,48309
102577,Senior Engineer,40000
102580,Senior Staff,50988
102597,Senior Engineer,50203
102609,Engineer,43987
102615,Senior Engineer,40000
102616,Engineer,40000
102621,Staff,40000
102625,Senior Engineer,50252
102627,Senior Engineer,52225
102628,Senior Staff,40000
102631,Senior Staff,43941
102632,Senior Engineer,40000
102642,Engineer,57826
102654,Technique Leader,50339
102660,Senior Engineer,43220
102661,Engineer,60581
102662,Senior Staff,111007
102665,Senior Engineer,44874
102673,Senior Staff,71501
102675,Senior Engineer,45083
102676,Senior Engineer,40000
102677,Senior Engineer,40000
102678,Senior Staff,58662
102682,Senior Staff,71707
102692,Staff,66030
102700,Senior Engineer,40000
102703,Senior Engineer,60308
102704,Senior Staff,64223
102707,Senior Staff,64871
102708,Senior Staff,54392
102710,Senior Engineer,40000
102722,Engineer,50932
102727,Senior Staff,62886
102728,Staff,59476
102733,Senior Staff,66824
102737,Senior Engineer,56956
102738,Senior Staff,40000
102740,Senior Engineer,40000
102741,Senior Staff,54333
102742,Engineer,51549
102748,Engineer,40000
102754,Senior Engineer,48479
102757,Senior Engineer,62091
102759,Senior Staff,63900
102762,Senior Staff,40000
102764,Staff,75557
102765,Senior Staff,65088
102766,Engineer,40000
102768,Staff,40000
102777,Senior Engineer,41798
102778,Senior Engineer,49949
102779,Engineer,60931
102786,Senior Staff,40000
102793,Senior Engineer,40000
102795,Senior Engineer,50236
102801,Senior Engineer,40000
102802,Senior Staff,76174
102803,Senior Engineer,46315
102805,Senior Engineer,45572
102808,Senior Engineer,48528
102810,Senior Staff,69623
102813,Senior Engineer,40000
102815,Senior Staff,60284
102817,Engineer,41195
102825,Senior Engineer,40000
102826,Staff,53703
102829,Technique Leader,40000
102830,Engineer,47947
102834,Senior Engineer,72472
102840,Senior Engineer,41997
102845,Senior Engineer,40000
102851,Technique Leader,40000
102852,Senior Engineer,53370
102855,Technique Leader,40000
102856,Senior Staff,40000
102857,Senior Staff,60978
102859,Senior Staff,40000
102863,Engineer,50295
102870,Senior Staff,48805
102875,Engineer,40000
102882,Senior Staff,47557
102883,Engineer,47491
102884,Staff,90450
102894,Engineer,40000
102901,Senior Engineer,64409
102903,Senior Engineer,45600
102905,Senior Staff,79621
102907,Senior Engineer,41932
102912,Senior Staff,40000
102928,Senior Engineer,55667
102935,Engineer,50214
102937,Senior Engineer,60092
102941,Senior Engineer,47614
102942,Senior Staff,69181
102950,Senior Staff,40000
102951,Senior Engineer,40145
102953,Senior Engineer,53852
102959,Engineer,40000
102962,Senior Staff,113013
102972,Engineer,40000
102982,Senior Staff,40000
102983,Senior Engineer,40000
102985,Senior Engineer,40000
102992,Senior Staff,78257
